  PID STAT S TTY          TIME COMMAND
    1 Ss   S ?        00:00:03 init
    2 S    S ?        00:00:00 kthreadd
    3 S    S ?        00:00:06 ksoftirqd/0
    6 S    S ?        00:00:00 migration/0
    7 S    S ?        00:00:00 watchdog/0
    8 S    S ?        00:00:00 migration/1
   10 S    S ?        00:00:01 ksoftirqd/1
   12 S    S ?        00:00:00 watchdog/1
   13 S    S ?        00:00:00 migration/2
   15 S    S ?        00:00:00 ksoftirqd/2
   16 S    S ?        00:00:00 watchdog/2
   17 S    S ?        00:00:00 migration/3
   19 S    S ?        00:00:00 ksoftirqd/3
   20 S    S ?        00:00:00 watchdog/3
   21 S<   S ?        00:00:00 cpuset
   22 S<   S ?        00:00:00 khelper
   23 S    S ?        00:00:00 kdevtmpfs
   24 S<   S ?        00:00:00 netns
   25 S    S ?        00:00:00 sync_supers
   26 S    S ?        00:00:00 bdi-default
   27 S<   S ?        00:00:00 kintegrityd
   28 S<   S ?        00:00:00 kblockd
   29 S    S ?        00:00:00 khungtaskd
   30 S    S ?        00:00:01 kswapd0
   31 SN   S ?        00:00:00 ksmd
   32 SN   S ?        00:00:00 khugepaged
   33 S    S ?        00:00:00 fsnotify_mark
   34 S<   S ?        00:00:00 crypto
  119 S    S ?        00:00:00 khubd
  126 S<   S ?        00:00:00 ata_sff
  228 S    S ?        00:00:00 scsi_eh_0
  230 S    S ?        00:00:00 scsi_eh_1
  234 S    S ?        00:00:00 scsi_eh_2
  235 S    S ?        00:00:00 scsi_eh_3
  236 S    S ?        00:00:19 scsi_eh_4
  237 S    S ?        00:00:00 scsi_eh_5
  238 S    S ?        00:00:00 scsi_eh_6
  239 S    S ?        00:00:00 scsi_eh_7
  298 S<   S ?        00:00:00 md
  305 S    S ?        00:00:00 md0_raid1
  312 S    S ?        00:00:00 md1_raid1
  319 S    S ?        00:00:00 md2_raid1
  326 S    S ?        00:00:15 md3_raid1
  333 S    S ?        00:00:01 md4_raid1
  340 S    S ?        00:00:03 md5_raid1
  355 S    S ?        00:00:00 jbd2/md1-8
  356 S<   S ?        00:00:00 ext4-dio-unwrit
  500 Ss   S ?        00:00:00 udevd
  725 S<   S ?        00:00:00 kpsmoused
  765 S<   S ?        00:00:00 ttm_swap
  832 S<   S ?        00:00:00 hd-audio0
  837 S<   S ?        00:00:00 hd-audio1
 1699 S<   S ?        00:00:00 kdmflush
 1701 S<   S ?        00:00:00 kdmflush
 1703 S<   S ?        00:00:00 kdmflush
 1705 S<   S ?        00:00:00 kdmflush
 1927 S    S ?        00:00:00 jbd2/md0-8
 1928 S<   S ?        00:00:00 ext4-dio-unwrit
 1929 S    S ?        00:00:01 jbd2/dm-0-8
 1930 S<   S ?        00:00:00 ext4-dio-unwrit
 1931 S    S ?        00:00:00 jbd2/md4-8
 1932 S<   S ?        00:00:00 ext4-dio-unwrit
 1933 D    D ?        00:00:07 jbd2/md3-8
 1934 S<   S ?        00:00:00 ext4-dio-unwrit
 1935 S    S ?        00:00:00 jbd2/dm-1-8
 1936 S<   S ?        00:00:00 ext4-dio-unwrit
 1937 S    S ?        00:00:00 jbd2/dm-2-8
 1938 S<   S ?        00:00:00 ext4-dio-unwrit
 1945 S    S ?        00:00:00 jbd2/dm-3-8
 1946 S<   S ?        00:00:00 ext4-dio-unwrit
 2300 S    S ?        00:00:04 flush-9:3
 2301 S    S ?        00:00:00 flush-9:4
 2539 Ss   S ?        00:00:00 rpcbind
 2556 S<   S ?        00:00:00 rpciod
 2558 S<   S ?        00:00:00 nfsiod
 2569 S    S ?        00:00:00 nfsv4.0-svc
